pops leaves bbc onethe bbc s flagship pop music programme pops bbc fridays sundays bbc new programme combine archive totp mixing new music footage classic bands corporation new aims appeal diverse audience music lovers biggest shake history broadcast bbc pops relaunched blaze publicity december year attempt reverse long term decline audience figures new pops fronted newcomer tim kash producer andi peters brought bbc channel revitalise series million people week watching fridays half total attracting mid s programme went popular itv soap coronation street despite relaunch audience figures failed rise remain million mark tim kash replaced host fearne cotton new launch spring year extended format bbc controller roly keating s exciting new era pops want make bigger better ultimate pop music music lovers generation mr keating described bbc natural home pops added addition pops extend bbc s offering younger audiences bbc spokeswoman andi peters continue executive producer issues exact format programme time slot decided programme close relationship bbc radio chart suggests relaunched transmitted sundays hopefully audience pops bbc think new slot create buzz programme time viewers discover news number happens	__label__entertainment
t mobile bets pocket office t mobile launched latest pocket office generation g device built wi fi high speed wireless net access unlike devices user check high speed network available transfer data device selects fastest mda iv released summer upgrade company s existing smartphone g wi fi mda iii reflects push mobile firms devices like mini laptops device display swivelled angled used like small conventional clamshell phone microsoft mobile phone cameras qwerty keyboard reflects design similar models released year motorola s mpx european workers mobile meaning spend significant time travelling office rene obermann t mobile s chief executive told press conference gsm trade cannes added need office office t mobile seeing increasing calls office pocket devices mdas sold europe response demand t mobile adding latest phone shaped blackberry mobile range reflecting growing need connected outside office announced introduce flat fee â month wi fi tariff people uk using wi fi hotspots nearly double number hotspots places wi fi access available globally announced installing high speed wi fi certain train services uk s london brighton service provide commuters fast net connection service developed southern trains nomad digital provide technology begins free trial trains route early march end april service set follow summer wi fi access points connected wimax wireless network faster wi fi running alongside train tracks brian mcbride managing director t mobile uk growing trend business users needing access e mail securely able offer maintaining constant data session entire journey similar train wi fi services offered gner trains offer mr obermann added mobile industry general growing opportunities services bear fruit mobile companies future thousands mobile industry experts gathered cannes france gsm runs february	__label__tech
new year s texting breaks recorda mobile phone essential recent new year s festivities party mood auld lang syne number text messages sent midnight december midnight january m text messages sent uk highest daily total recorded mobile data association mda represents increase year s figures wishing happy new year friends family text message staple ingredient year s largest party texting quite overtaken old fashioned phone heading way mike short chairman mda case new years eve party texting useful unable speak hear noisy background lots messages sent internationally different time zones traditional calls unfeasible british love affair texting shows signs abating annual total set exceed bn according mda mda predicts bn text messages sent uk thought texting slow mms took seen sign mr short firms seeing value mobile marketing restaurants using text messages tell customers special offers promotions need bit january cheer party season use service set jongleurs comedy club text joke day wanting drink merry long days winter draw good pub guide offers service giving location address nearest recommended pub users need text word goodpub want turn evening pub crawl simply text word standing end night taxi service london available text locate nearest available black cab	__label__tech
telewest challenge sky pluscable firm telewest offer personal video recorder pvr set box challenge sky plus sky plus market leader field digital video recorders uk subscribers pvrs record tv programmes hard drive letting viewers pause rewind live television effectively time shift viewing experience number pvrs incorporating freeview digital terrestrial tv market success limited telewest s pvr offer gb hard drive storage hours programmes box tuners means viewers record channels simultaneously watching channel sky plus boxes come versions gb version â gb version â sky charges â subscription fee service unless viewers subscription premium packages telewest reveal pricing new box charging subscription fee service eric tveter president chief operating officer telewest broadband make pvr set box available later year putting stop missed soaps interrupted films arguments programmes record pvrs recordable dvd players set replace video recorders standard method recording saving favourite tv programmes year high street retailer dixons going stop selling vhs machines favour pvrs recordable dvd machines sky aims subscribers using sky plus predicting million total subscribers date currently million subscribers telewest provides digital cable million customers	__label__tech
csa chief quit jobthe head failing child support agency widely reported resigned months ago helm troubled organisation doug smith s departure announced work secretary alan johnson november mps grilled agency s poor performance resignation referred tory lib dem leaders day s prime ministers questions officials resign civil service rules mr smith s departure reported widely time shouldering blame failings child support agency january mps make commons work pensions committee published highly critical report failing agency noting chief executive left hoping new leadership bring fresh approach failing organisation day s today programme mr johnson asked mr smith allowed resign sacked replied chief executive decided time new chief executive coming emerges widespread belief mr smith commander order bath new year honours left wrong department work pensions spokeswoman confirmed mr smith post continue job replacement date given doug smith s departure adding post advertised tory work pensions spokesman david willetts families affected csa failings wonder mr smith job months departure announced csa surrounded controversy introduction assess enforce child support payments absent parents work pensions committee launched inquiry csa s performance clear despite introduction simpler calculating maintenance payments new cases backlog claims building currently chasing outstanding payments â m â m designated unrecoverable mps american giant eds â m near fully functional number dissatisfied disenchanted angry customers continues escalate november surprised mps watching media announcing mr smith s departure mr johnson tell doug decided time stand aside allow new chief executive tackle challenges ahead doug exceeded years senior civil servants expected remain particular post doug believes reached natural breakpoint hand reins lib dem sir archy kirkwood chairs commons work pensions committee mr johnson announced mr smith going got clear impression csa chief retiring emerged case seeking new employment opportunities added committee duty bound allow work pensions secretary new management place csa premature issue moment committee member tory mp nigel waterson amazed mr smith job mr smith secretary state came evidence led believe going shortly working months notice clearing desk asked thursday mr smith s position mr johnson told bbc radio s world thought non story added absolutely open announced mr smith s departure select committee people chose interpret different thing major issue got new chief executive coming important agency quickly possible gone right selection process make sure ve got right people added	__label__politics
benitez joy reds controlliverpool boss rafael benitez satisfied team s win bayer leverkusen despite conceding goal minute game score happily accepted benitez realise concentrate right seconds game level confidence complete task germany confident positive benitez defended goalkeeper jerzy dudek failure hold dimitar berbatov s weak drive allowed franca score kick game german team lifeline second leg jerzy dudek s fault added benitez played good game scored chances talking goal mattered scored chances worth remembering goal opinion jerzy played fine saves happy lose think score germany certainly make difference liverpool boss looking forward skipper steven gerrard suspended anfield leg return germany steven gerrard key player benitez pitch makes play better opposition pay special attention gives space steven best players world need team just player players pitch	__label__sport
saint andre anger absent starssale sharks director rugby philippe saint andre opened rugby s club versus country debate sale host bath powergen cup friday frenchman endured difficult week players away england s nations training camp s important game ve just session s need manage players picked country date game told bbc sport unless authorities agree make changes saint andre believes england s national team suffer clubs opt sign foreigners retired internationals s good politics english team english rugby argues issue taken notably autumn internationals sale lost zurich premiership matches played fears derail club s hopes cup silverware players including captain jason robinson fly half charlie hodgson away countries quarter finals s better play home away s great opportunity added careful bath just knocked europe make tough game comes end difficult week sebastien bruno s france jason white scotland england s players plus injuries players squad ll just session best make good thursday afternoon gloucester caught club versus country conflict england sought second medical opinion james simpson daniel s fitness winger carrying shoulder injury national team management believe requires time sidelines result misses cherry white s quarter final home bristol elite player squad agreement england wanted second opinion director rugby nigel melville told gloucester citizen obviously want international rugby want club rugby important game conflict interests surgeon carried operation fine england vulnerable damaged want rehab programme simpson daniel added ve nigel want playing means goes week target worcester game january return	__label__sport
reforms ahead says milburnlabour continue pursue controversial reforms wins term power party s election chief alan milburn pledged labour encourage people achieve aspirations want people earn mr milburn told bbc radio s today tory shadow chancellor oliver letwin called labour brilliant machine talking things deliver policies country needs liberal democrats president simon hughes new labour lost people s confidence way old labour mr milburn told today labour wanted policies encouraged increased social mobility britain pressed incapacity benefits tax welfare provide right incentives people talking driving people work know million people incapacity benefit want opportunity work providing right level support backbench labour mp karen buck warned proposed changes benefits told today programme policy seen make feckless poor work going work hand going improve electoral chances mr milburn sought draw line controversy reports feud gordon brown prime minister tony blair stressed mr brown play role election mr milburn gave details planned reforms speech labour s fabian society praised mr brown leaders party s reform process speech backed choice schools hospitals wider home ownership changes welfare mr milburn insisted government reform continue task rebuild new labour coalition nation politics recognise life hard chance succeed glass ceiling opportunity country terms raised term break voters turned party failed reform industrial relations s told audience oliver letwin government failed deliver key public services cleaner hospitals discipline schools putting police streets ministers delivered cleaner hospitals people dying infections year new labour failed school discipline implemented reforms teachers run schools parents choice went lib dems simon hughes pensioners means tested money needed students told wouldn t tuition fees debt given exactly opposite added new labour households paying unfair council tax fairer alternative	__label__politics
wmc profits amid bid criticismaustralian mining firm wmc resources seen fivefold rise profits continuing target hostile takeover bid wmc net profits bn australian dollars bn â m bn year currently arguing offer swiss xstrata firm raised bn week wmc undervaluation reports australian government deal trade minister mark vaile bid national mr vaile quoted australian financial review compared xstrata s attempt wmc similar bid oil giant shell australia s woodside petroleum bid thrown treasurer peter costello national grounds wmc s interests uranium deposits contributing factor mr vaile wmc objection principle bought spun aluminium operations make tempting target long price right stellar performance built sky high prices metals copper nickel particular high demand thanks china s booming economy expanded past years nickel prices rose year copper	__label__business
uk youth interested politicsthe majority young people interested politics holding strong opinions policies keen appetite direct action research undertaken voting watchdog electoral commission suggests year olds feel strongly issues like crime education survey findings released coincide launch y vote mock elections initiative mock elections planned place schools uk electoral commission boss sam younger know young people feel disengaged democratic life believe working creatively encourage participation mock elections play extremely valuable role helping young people understand democratic process works matters survey sample british year olds year olds showed britain s young people far apathetic issues matter lives y vote initiative run jointly electoral commission hansard society department education skills run local elections general election possibly michael rafferty mock elections project manager hansard society looked forward seeing schools colleges uk participating mock votes	__label__politics
sony psp tipped sony s playstation portable gadget according round ultimate gizmos compiled stuff magazine beats ipod second place essentials list predicts gadget lovers likely covet year owning gadgets set gadget lover â â cheaper year s list falling manufacturing costs making gadgets affordable portable gadgets dominate list including sharp s g mobile phone pentax optio sv digital camera samsung s yepp yh video jukebox year s essentials shows gadgets cheaper sexier indispensable ve got point t live lives certain technology adam vaughan editor stuff essentials proliferation gadgets homes inexorably altering role high street lives thinks mr vaughan digital cameras pay develop entire film photos legitimate downloads travel miles record shop download song minutes p asks year new set technologies capturing imaginations gadget lovers stuff predicts xbox high definition tv mp mobiles list haves dominate says spring launch psp uk eagerly awaited gaming fans	__label__tech
parmalat boasts doubled profitsparmalat italian food group centre europe s painful corporate scandals reported doubling profit pre tax earnings fourth quarter m euros â m m m period welcome news firm fined m euros violated takeover rules years ago firm sought bankruptcy protection december disclosing bn euro hole accounts overall company s debt close bn euros falling slowly brands known italy overseas continued perform strongly barely lost revenue scandal broke crucial factor company s future legal unwinding intensely complex financial position tuesday company s administrator turnaround expert enrico bondi sued morgan stanley banker return m euros relating bond deal brought number banks mr bondi sued mass legal action bring bn euros company sued auditors financial advisors damages criminal cases company s management proceeding separately	__label__business
